Type of course,Higher Education/Professional Development,Course Title,Course link,Course Provider,Country,"Primary location (City, Online, Blended)",Language,Length of course,Qualification or accreditation,"Study mode (FT, PT, Flexible)","Department(s), Faculty",Core modules/units/course content,Additional modules/units,"Techniques, tools, programming languages",Placement,Total cost EU (starting 2016),Cost non-EU (starting 2016),Subsidised Learning,Target audience,"Listed, searchable?","search term, tag",Entry requirements?,Frequency of course,Start date/time,Year established,Industry partners
Masters,Higher Education,Data Science,http://www.baicr.it/palinsesto-geografico/data-science,BAICR,Italy,"Online, blended learning programme",Native language,12 months,Master of Science,"FT, PT",BAICR,"Data Mining, Data Warehousing, Data Security and Privacy, Big Data, Computational Linguistics, Machine Learning, Business Intelligence, Data Visualization, Social Network Analysis, Text Mining, Web Marketing, Legal Informatics, Labs on data analysis, Labs on Informatika, Computational Linguistics, Geographic Information Systems, Statistics, Design and Implementation of Social Investigations",Data not available,Data not available,Data not available,"EUR 5,000.00","EUR 5,000.00",Scholarships available,Intermediate. The Master is aimed at professionals but open to any graduate or professional who recognizes the centrality of the data within its field of action and for this reason wants to get more specific knowledge and skills.,Data not available,Data not available,"bachelors degree level I or the old system in Law, Humanities, Economics, Political Science, Communication Sciences, Engineering, Statistics or possession of a specialist or magister degree (level II) under the same disciplines or other degree the same level deemed appropriate by the Academic Board of the Masters.",Annual,April,Data not available,No evidence of industry partners
Masters,Higher Education,Data Science,http://datascience.i3s.uniroma1.it/it,Sapienza Universita Di Roma,Italy,Rome,English,24 months,Master of Science,FT,"Departments of Informatics (DI), Computer Science (DIAG), Information Engineering, Electronics and Telecommunications (DIET) and Statistics (DSS).","Algorithmic Methods Of Data Mining And Laboratory, Fundamentals Of Data Science And Laboratory, Statistical Methods In Data Science And Laboratory, Statistical Methods In Data Science And Laboratory 1, Statistical Methods In Data Science And Laboratory 2, Networking For Big Data And Laboratory, Statistical Learning, Quantitative Models For Economic Analysis And Management, Data Management For Data Science, Cloud Computing, Data Mining Technology For Business And Society, Data Monitoring Analysis And Communication,","Intellectual Property Competition And Data Protection Law, Economics Of Network Industries, Optimization Methods For Machine Learning, Statistical Methods For Official Statistics, Data Privacy And Security, Social And Behavioral Networks, Signal Processing For Big Data, Network Infrastructures, Efficiency And Productivity Analysis, Probability And Stochastic Processes For Data Science, Digital Epidemiology, Earth Observation Data Analysis, Economics Of Information, Bioinformatics",Data not available,Internship possible,EUR 6128,Data not available,Scholarships available,Data not available,mastersportal.eu,data,"Must hold a 3-year bachelors degree (laurea trienale) Must have acquired at least 90 credits in the following scientific sectors: Mathematical sciences, Informatics, Physics, Economical and statistical sciences, Industrial engineering, Computer engineering. Must possess basic knowledge from some of the following areas: Matematics: Differential calculus and integration in one or multiple real variables, basic notions of linear algegra and analytical geometry in the Euclidean space Probability: Random variables, distributions and mean values, basic distributions, convergence of sequences of random variables Informatics: Programming principles, knowledge of at least one of the following programming languages: C, C++, C#, Java, Python Must know the english language at a level of at B2",Annual,September,Data not available,No evidence of industry partners
Masters,Higher Education,Data Science for Complex Economic Systems,http://www.carloalberto.org/education/master-in-data-science-for-complex-economic-systems/,Colegio Carlo Alberto,Italy,Turin,English,12 months,Master of Science,FT,Colegio Carlo Alberto,"Preliminary Courses: Introductory Statistics, Mathematics for Economics, Coding in Python. Ideas and Instruments: Theory Empirics, Microeconomics of Complex Economies, Complex Networks, Modelling complex systems, Complexity And Agent-Based Models, Econometric Theory, Econometrics in R, Data Mining, Machine learning. Topics and Applications: Theory Empirics, Innovation System: entrepreneurship and technology strategy, Consumption Systems: marketing and risk strategy, Smart Urban Systems and IoT, Innovation Systems Lab: patent and technology analysis, Consumption Systems Lab: marketing and risk analysis, Smart Urban Systems Lab: the geography of web and social media analytics",Data not available,Data not available,Data not available,"EUR 8,000.00",Data not available,Scholarships available,"Welcomes students from different disciplines (e.g. economics, physics, computer science and political science).",Data not available,Data not available,Applicants for the Master must be university graduates (four or five-year degree). Undergraduates in their last year of studies will also be considered. Different disciplines are considered.,Annual,September,Data not available,No evidence of industry partners
Masters,Higher Education,Stochastics and Data Science,http://www.master-sds.unito.it/do/home.pl,University of Turin,Italy,Turin,English,24 months,Master of Science,FT,"Department of Mathematics, ESOMAS Department, Department of Computer Sciences","Stochastic Differential Equations, Analysis, Probability Theory, Statistical Inference, Programming for Data Science, Stochastic Processes","Statistics for Stochastic Processes, Stochastic Modelling for Statistical Applications, Multivariate Statistical Analysis, Databases and Algorithms, Bayesian Statistics, Statistical Machine Learning, Complex Networks, Computational Methods for Statistics, Decisions and Uncertainty, Econometrics, Game Theory, Information Theory, Introduction to Data Mining, Simulation, Simulation Models for Economics",Data not available,Data not available,"EUR 3,200.00",Data not available,Scholarships available,Data not available,mastersportal.eu,data,"Bachelor degree or an equivalent title in Mathematics, Statistics, Physics, Engineering, but also in Computer Science, Economics or related with a sufficient quantitative background.",Data not available,Data not available,Data not available,No evidence of industry partners
Masters,Higher Education,International Master in Business Analytics & Big Data (BABD),http://www.mip.polimi.it/en/academics/people-and-careers/masters/babd-international-master-in-business-analytics-and-big-data/,"MIP - Politecnico di Milano, CEFRIEL- Politecnico di Milano",Italy,Milan,English,12 months,Master of Science,FT,School of Management,"General Management, Data management and Warehousing, Foundamentals of Statistics and Data Visualization, Predictive Analytics and Business Applications, Analytics for Management and Electives","Analytics for Finance, Analytics on customer experience, Social Media Marketing, Analytics for Supply Chain Management",Data not available,Data not available,"EUR 14,000.00",Data not available,Financial aid options available,Programme is ideally suited for recent University graduates and those in the initial stages of their career.,findamasters.com,data,"3 or 4 year bachelors degree in the areas of Computer Science, Economics, Engineering, Management, Mathematics, Science or Statistics from Accredited Institutions are eligible for the programme.",Annual,September,Data not available,No evidence of industry partners
Masters,Higher Education,Big Data Management,http://businessschool.luiss.it/mabda/,"LUISS Business School, Oracle",Italy,Rome,English,12 months,Master of Science,FT,LUISS Business School,"Preparatory Courses: Economics of Strategy, Introduction to Big Data Infrastructure, Data Management for Big Data Introduction, Introduction to Big Data Programming, Introduction to Statistics for Data Scientist Core courses: Accounting, Strategy, Financial Management, Business Law, Organizational & HRM, Access Tools and Informational Discovery, Econometrics, Machine Learning, Advanced Programming, Economic Forecasting, Advanced Visualisations, Marketing Analytics",Data not available,"RDBMS and Hadoop, Linux and VM, R and Python,",Data not available,"EUR 14,000.00",Data not available,Financial aid options available,Data not available,mastersportal.eu,data,Data not available,Annual,October,Data not available,No evidence of industry partners
Masters,Higher Education,Computer Science: Data and Knowledge Engineering,http://www.unibz.it/EN/INF/PROGS/MCS/default.html,Free University of Bozen - Bolzano,Italy,Bozen,English,24 months,Master of Science,FT,Department of Computer Science,"Advanced Database Management Technologies, Data Mining, Theory of Computing, Seminars in Human Machine Interaction, Statistical Methods, Advanced Internet Technologies, Data and Process Modeling, Information Search and Retrieval, Technical and Scientific Communication, Semantic Technologies, Seminars in Data and Knowledge Engineering, Research Methods","Empirical Software Measurements, IT and Service Management, Lean Start Up, Requirements and Design of Software Systems, Software Factory, Software Process Management, Temporal and Spatial Databases. University of Trento: Big Data and Social Networks, Laboratory of Applied Robotics, Real-Time Operating Systems and Middleware. University of Innsbruck: Computer Vision, Vehicular Networks, Advanced Compiler Construction",Data not available,Internship possible,"EUR 1,343.50",Data not available,Data not available,Data not available,mastersportal.eu,data,"Italian Bachelor degree (ï¿½diploma di laureaï¿½) in Computer Science (Scienze e tecnologie informatiche, classe L-31) or Information Engineering (Ingegneria dellï¿½informazione, classe L-08);equivalent Italian degree obtained according to the regulations previously in force; other degrees in the field of Computer Science awarded in Italy or abroad and recognized as suitable. Italian Bachelor degree (ï¿½diploma di laureaï¿½) in Physics (Scienze e tecnologie fisiche, classe L-30) or Mathematics (Scienze matematiche, classe L-36); equivalent Italian degree obtained according to the regulations previously in force; other degrees in the field of Physics or Mathematics awarded abroad and recognized as suitable. English language proficiency.",Annual,October,Data not available,No evidence of industry partners
Masters,Higher Education,Computer Science: Data Management and Analytics,http://www.unive.it/nqcontent.cfm?a_id=73027,Ca' Foscari University of Venice,Italy,Venice,English,24 months,Master of Science,FT,"Department of Environmental Sciences, Informatics and Statistics","Advanced Algorithms And Programming Methods, Advanced Databases, Artificial Intelligence, Information Retrieval And Web Search, Cloud Computing And Distributed Systems, Bioinformatics, Computer Vision, High Performance Computing, Human Computer Interaction And Information Visualization, Network Science, Calculus And Optimization, Statistical Inference And Learning, Data Design And Nature-Inspired Computing, Statistics For Spatio-Temporal Data","Compilers, Networks In Economics And Social Science",Data not available,Internship possible,"EUR 2,100.00","EUR 2,100.00",Data not available,Data not available,mastersportal.eu,data,"Students with diverse academic backgrounds, such as computer science, engineering, statistics, mathematics and related disciplines. Candidates require a good background on fundamental topics in computer science and engineering, such as programming languages and software engineering, algorithms, computer architecture, operating systems, databases, and computer networks. Further requirements include basic knowledge of calculus, discrete mathematics, and probability and statistics, foundations of computer science.",Annual,September,Data not available,No evidence of industry partners
Short Course,Professional Development,Big Dive,http://www.bigdive.eu,Big Dive,Italy,Turin,English,5 weeks,Data not available,FT,Instructor Led,"Visualizing Data on the Web with Python and Javascript, Data Analysis, Data Storage, Performance Optimization and Profiling, Theory and History of Visualization, D3.js and the Art of Prototyping, Statistics & Data Analysis, Machine learning, Network science: represent and analyze network data, Final Team Project","Python introduction for beginners, Git/versioning introduction for beginners","Git, Python, Apache Spark, MapReduce, MongoDB",Data not available,Non-profit: EUR 1200 Start-up: EUR 1100 Regular: EUR 1400 Student: EUR 800,Non-profit: EUR 1200 Start-up: EUR 1100 Regular: EUR 1400 Student: EUR 800,http://www.bigdive.eu/pricing/,Data not available,Data not available,Data not available,"Python will be used as the main development language Knowledge of using terminal shell Javascript/D3js knowledge are welcome Familiarity with HTML, CSS and Javascript Familiarity with Cloud Computing and virtual machine management Network graph basics",Annual,Data not available,2012,No evidence of industry partners
Short Course,Professional Development,SoBigData Datathon,http://www.sobigdata.eu/events/sobigdata-datathon-0,So Big Data,Italy,tbc,Data not available,1 day,Data not available,FT,Data not available,SoBigData explores and develops conventional and unconventional training experience for master and PhD students and post-doctoral trainees. These experiences include summer schools and datathons for matching research (and industrial) needs and people skills.,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,The datathon is aimed at young minds working in data science.,Data not available,Data not available,Data not available,Annual,Scheduled for May 2017 and May 2018.,Data not available,No evidence of industry partners
Masters,Higher Education,Applied Informatics,http://if.vdu.lt/en/studies/master-studies-programmes/applied-informatics/,Vytautas Magnus University,Lithuania,Kaunus,English,2 years,Master in Applied Informatics,FT,Faculty of Informatics,"Operations Research and Management, Machine Learning, System Analysis and Modelling, Signal Processing and Recognition, ICT Infrastructure and Electronic Commerce, Data Visualization, Distributed and Cloud Computing, Neural Networks, IT Strategies in Knowledge Society, Digital Image Processing","Neural Networks, IT Strategies in Knowledge Society, Digital Image Processing, Adaptive and Intelligent Systems, Intelligent Web Services and Applications, Gaming Environments and Technologies, Natural Language Technologies, Supply Chain Management and Logistics, Multimedia Data Mining, Information Retrieval, Secure Digital Environments",Data not available,Data not available,"EUR 3,700.00","EUR 3,700.00",Data not available,Data not available,mastersportal.eu,data,"Bachelor or equivalent degree in Informatics, Informatics Engineering, Computer Science, Computer Engineering or Mathematics.",Annual,August,Data not available,No evidence of industry partners
Masters,Higher Education,Marketing Analytics,http://www.vu.lt/en/studies/degree-students/degree-programmes/in-foreign-languages/56-studies/studies/3493-marketing-analytics2,Vilnius University,Lithuania,Vilnius,English,2 years,Master of Science,FT,Data not available,"Compulsory Courses: Principles of Marketing Management, Supply Chain Management and Analysis, CRM Systems, Analysis of Data in a Company, Research Methods, Integrated Marketing Communications, Predictive Modelling, Models of consumer behaviour and measurements, Social Media and Web Analytics, Marketing Analytics Capstone, Master Final Thesis","Sales Management, Methods of Qualitative Research, Marketing Specifics in Selected Sectors, Pricing, Statistical Analysis of Research Data (with SPSS), Product Mix Management",Data not available,Data not available,"EUR 2,600.00","EUR 3,400.00",Data not available,Data not available,mastersportal.eu,data,"bachelors degree or its equivalent with no less than 30 ECTS credits in the fields of economics, management and business administration or other social sciences. The selection criterion is based on the weighted average of relevant grades recorded in the transcript of the studentï¿½s academic record. Priority will be given to students with more courses and/or higher grades in management and business administration. All applicants have to prove their English proficiency.",Annual,September,2015,No evidence of industry partners
Masters,Higher Education,Information and Computer Science (Adaptive Computing),http://wwwen.uni.lu/formations/fstc/master_in_information_and_computer_sciences_academique/profiles/profile_adaptive_computing,University of Luxembourg,Luxembourg,Luxembourg,English,2 years,Master of Science,FT,Computer Science and Communications Research Unit,"Basic Algebraic Structures, Foundations of Computing, Communication Theory, Networking, Distributed Systems, Intelligent Systems - Agents and Reasoning, Intelligent Systems - Information Retrieval and Learning, Intelligent Systems - Problem Solving, English for Computer Science, Information Security Basics, Principles of Software Development, Computational Statistics, Machine Learning, Parallel and Grid Computing, Knowledge Discovery and Data Mining, Optimisation for Computer Science","Algorithmic Decision Theory, Information Theory and Coding, Intelligent Agents I, Autonomous Robot Software, Intelligent Agents II, Selected Topics in Artificial Intelligence, Stochastic Models in Intrusion Detection Systems",Data not available,Data not available,EUR 600.00,Data not available,Some financial aid opportunities available.,Intermediate. Aimed at graduates.,Data not available,Data not available,"Basic education in computer science as given in a Bachelor of Science in Computer Science. This includes e.g.: mathematical foundations as given in (Linear) Algebra, Analysis, etc. and good programming skills in at least one programming language. English language proficiency.",Annual,September,Data not available,No evidence of industry partners
Masters,Higher Education,Master Information Technologies for Business Intelligence - IT4BI,http://it4bi.univ-tours.fr/it4bi/,"Universite Libre de Bruxelles/Vrije Universiteit Brussel (ULB) (coordinating institution), Ecole Centrale de Paris (ECP), Universite Francois Rabelais de Tours (UFRT), Technische Universitaet Berlin (TUB), Universitat Politecnica de Catalunya (UPC-Barcelona Tech)",Multiple: Europe,"Multiple: Brussels, Paris, Berlin, Barcelona",English,2 years,Master of Science,FT,Data not available,"Data Warehouses, Business Process Management, Applied Operational Research, Advanced Databases, Database Systems Architecture, Humanities, Advanced Data Warehousing, Knowledge Discovery and Data Mining, XML and Web Technologies, Information Retrieval, Business Intelligence Seminar. Masters Thesis","Option Decision Support and Business Intelligence (BI): Visual Analytics, Data Mining and Machine Learning, Corporate Semantics and Semantic Web, Decision Modeling, Introduction to innovation and research Option Service-Oriented Business Intelligence (BI): Service Oriented BI, BI Project, Web Services, Viability of Business Projects Option Distributed and Large-Scale Business Intelligence (BI): Big Data Analytics Seminar, Implementation of a Database Engine, Heterogeneous and Distributed Information Systems, Large Scale Data Analysis and Data-Mining, Big Data Analytics Projects",Data not available,Data not available,EUR 8000,EUR 16000,EUR 24.000 per year for non-European students and EUR 11.500 per year for European students,Data not available,Data not available,Data not available,bachelors degree with a major in computer science,Annual,autumn,Data not available,No evidence of industry partners
Masters,Higher Education,European Master in Data Mining and Knowledge Management,http://www.em-dmkm.eu,"University of Pierre and Marie Curie Paris 6, University of Lyon Lumiere Lyon 2 (coordinating institution), PolytecNantes, University of East Piedmont, Technical University of Catalonia",Multiple: Europe,Multiple,English,2 years,European Master,FT,Dï¿½partement Informatique et Statistique,"Logic & Knowledge Representation, Optimization, Statistics & Probability, Multidimensional Data Analysis, Big data management, Language, Symbolic learning, Methodology and tools for research","Specialisation (Year 2): E-Science, by the University of Paris 6 (UPMC, France); Digital Humanities, by the University of Lyon 2 (ULY2 France); Specialisation (Year 3): Knowledge and Decision, by Polytechï¿½Nantes (EPUN, France); Statistical Modelling and data mining, by the Polytechnic University of Catalonia (UPC, Spain)",Data not available,Internship or lab placement,"5,000 EUR /year","5,000 EUR /year",No scholarships are available.,Students from all over the world.,Data not available,Data not available,"Bachelorï¿½s degree (or equivalent) in the fields of computer science, mathematics or statistics, as well as a good level of English.",Data not available,Data not available,Data not available,No evidence of industry partners
Masters,Higher Education,Machine Learning and Data Mining,http://mldm.univ-st-etienne.fr,"Multiple: University Jean Monnet, University of Alicante",Multiple: Europe,Saint-Etienne,English,2 years,Double diploma Master of Science,"FT, PT",Data not available,"Semester 1: Advanced algorithmics, Calculability and Complexity Theory, Introduction to Machine Learning, Data Analysis, Semantic Web, Introduction to Artificial Intelligence, Foreign Language; Semester 2: Data Mining and Knowledge Discovery, Machine Learning - Fundamentals and algorithms, Computer Vision, Computer Networks and Security, Optimization & Operational Research, End of year project; Semester 3: Multi Agent Systems, Advanced Machine Learning, Data Mining for Big Data, Computer Vision Project, Machine Learning and Data Mining Project, Research Methodology & Project Management",Data not available,Data not available,Year 3: Internship or lab placement (February - June),"EUR 1,500.00","EUR 1,500.00",Scholarships and mobility grants available,Intermediate,mastersportal.eu,data science,"BSc degree level (i.e. 180 ECTS) or equivalent, in computer science, statistics or mathematics. English language requirements.",Annual,August,Data not available,No evidence of industry partners
Masters,Higher Education,EIT Digital Master's Programme in Data Science,http://www.masterschool.eitdigital.eu/programmes/dsc/,"Universidad Politecnica de Madrid (UPM), Eindhoven University of Technology (TU/e), Universite Nice Sophia Antipolis (UNS), Politecnico di Milano",Multiple: Europe,"Madrid, Amsterdam, Nice, Milan",English,2 years,Master of Science,FT,Data not available,"UPM entry point: I&E, Cognitive systems, Intelligent Data Analysis, Cloud Computing and Big Data Ecosystems Design, Big Data, Intelligent Systems, Information Retrieval, Extraction and Integration, Deep learning, Data Science Seminars","Specializations: Infrastructures for Large Scale Data Management and Analysis at UPM Multimedia and Web Science for Big Data at UNS Business Process Intelligence at TU/e Distributed Systems and Data Mining for Really Big Data at KTH (Sweden) Design, Implementation, and Usage of Data Science Instruments at TUB (Berlin, Germany)",Data not available,Internship possible,No fees,"EUR 8,000.00",Some scholarships available,Data not available,mastersportal.eu,data,"A B.Sc. degree in electrical engineering/ electronics, computer engineering, computer science or information technology is required. The studies should include at least 60 ECTS courses in computer science, computer architecture, or programming, and mathematics including calculus, algebra and mathematical statistics. Proof of English language proficiency.",Annual,August,Data not available,No evidence of industry partners
Masters,Higher Education,EIT Digital Master's Programme in Data Science,http://www.masterschool.eitdigital.eu/programmes/dsc/,"Universidad Politecnica de Madrid (UPM), Eindhoven University of Technology (TU/e), Universite Nice Sophia Antipolis (UNS), Politecnico di Milano",Multiple: Europe,"Madrid, Amsterdam, Nice, Milan",English,2 years,Master of Science,FT,Data not available,"UNS entry point: Networking and traffic analysis, Virtualized cloud computing, Internet & network programming, Wireless networking, Cryptography & security, Problem solving, Analysis&indexing of images&videos in big size systems, Graph & linear programming, Probability & Statistics, Web semantic & reasoning, Technologies for big data, Data mining, Parallelism and Big Data distributed Systems, Intelligent data analysis","Specializations: Infrastructures for Large Scale Data Management and Analysis at UPM Multimedia and Web Science for Big Data at UNS Business Process Intelligence at TU/e Distributed Systems and Data Mining for Really Big Data at KTH (Sweden) Design, Implementation, and Usage of Data Science Instruments at TUB (Berlin, Germany)",Data not available,Internship possible,No fees,"EUR 8,000.00",Some scholarships available,Data not available,mastersportal.eu,data,"A B.Sc. degree in electrical engineering/ electronics, computer engineering, computer science or information technology is required. The studies should include at least 60 ECTS courses in computer science, computer architecture, or programming, and mathematics including calculus, algebra and mathematical statistics. Proof of English language proficiency.",Annual,August,Data not available,No evidence of industry partners
Masters,Higher Education,EIT Digital Master's Programme in Data Science,http://www.masterschool.eitdigital.eu/programmes/dsc/,"Universidad Politecnica de Madrid (UPM), Eindhoven University of Technology (TU/e), Universite Nice Sophia Antipolis (UNS), Politecnico di Milano",Multiple: Europe,"Madrid, Amsterdam, Nice, Milan",English,2 years,Master of Science,FT,Data not available,"TU/e entry point: Introduction to process mining, Web information retrieval and data mining, Advanced Algorithms, Visualization, Statistics for Big Data","Specializations: Infrastructures for Large Scale Data Management and Analysis at UPM Multimedia and Web Science for Big Data at UNS Business Process Intelligence at TU/e Distributed Systems and Data Mining for Really Big Data at KTH (Sweden) Design, Implementation, and Usage of Data Science Instruments at TUB (Berlin, Germany)",Data not available,Internship possible,No fees,"EUR 8,000.00",Some scholarships available,Data not available,mastersportal.eu,data,"A B.Sc. degree in electrical engineering/ electronics, computer engineering, computer science or information technology is required. The studies should include at least 60 ECTS courses in computer science, computer architecture, or programming, and mathematics including calculus, algebra and mathematical statistics. Proof of English language proficiency.",Annual,August,Data not available,No evidence of industry partners
Masters,Higher Education,EIT Digital Master's Programme in Data Science,http://www.masterschool.eitdigital.eu/programmes/dsc/,"Universidad Politecnica de Madrid (UPM), Eindhoven University of Technology (TU/e), Universite Nice Sophia Antipolis (UNS), Politecnico di Milano (MIP)",Multiple: Europe,"Madrid, Amsterdam, Nice, Milan",English,2 years,Master of Science,FT,Data not available,"MIP entry point: Data Bases 2, Software Engineering 2, Computing Infrastructures, Machine Learning, Soft Computing, Distributed Systems, Recommender Systems, Principles Of Programming Languages, Data Mining And Text Mining, Advanced Algorithms And Parallel Programming","Specializations: Infrastructures for Large Scale Data Management and Analysis at UPM Multimedia and Web Science for Big Data at UNS Business Process Intelligence at TU/e Distributed Systems and Data Mining for Really Big Data at KTH (Sweden) Design, Implementation, and Usage of Data Science Instruments at TUB (Berlin, Germany)",Data not available,Internship possible,No fees,"EUR 8,000.00",Some scholarships available,Data not available,mastersportal.eu,data,"A B.Sc. degree in electrical engineering/ electronics, computer engineering, computer science or information technology is required. The studies should include at least 60 ECTS courses in computer science, computer architecture, or programming, and mathematics including calculus, algebra and mathematical statistics. Proof of English language proficiency.",Annual,August,Data not available,No evidence of industry partners
Short Course,Professional Development,Big Data Academy: Big Data Practitioner,http://www.eduvision.nl/course/big-data-practitioner,EduVision,Multiple: Europe,Utrecht (other locations available),Native language,3 days,Internationally recognised certification on completion. Different levels: Big Data Practitioner,FT,Instructor Led,"Big Data Practitioner: The basic application of Big Data process in practice, the application of various Big Data analytics tools, the use of algorithms and analytics, Practical application of Big Data process, the Roadmap (Big Data architecture and systems) implementation Big Data in organizations, the quality of Big Data",Data not available,Data not available,Also available as in-house or online training,"EUR 2176,- incl. BTW + EUR 250 (Big Data Practitioner Exam)","EUR 2176,- incl. BTW + EUR 250 (Big Data Practitioner Exam)",Data not available,Anyone who has some knowledge and wants to take the next step in Big Data.,Data not available,Data not available,Requires the Big Data Foundation Certificate (EUR 200 Exam) have been successfully completed.,Check for next scheduled course,Data not available,Data not available,"Industry clients: KLM, Wolkswagen, Interpolis, IMG."
Short Course,Professional Development,"Big Data Academy: Big Data, Big Data Academy: Big Data Analyse",http://www.eduvision.nl/course/big-data,EduVision,Multiple: Europe,Utrecht (other locations available),Native language,5 days,Internationally recognised certification on completion. Different levels: Big Data Foundation Big Data Practitioner,FT,Instructor Led,"Big Data Foundation: What Are Big Data ?, Introduction to various Big Data analysis strategies, the principles of algorithms and analytics, the base of Big Data architecture principles, the base of Big Data systems Big Data Practitioner: The basic application of Big Data process in practice, the application of various Big Data analytics tools, the use of algorithms and analytics, Practical application of Big Data process, the Roadmap (Big Data architecture and systems) implementation Big Data in organizations, the quality of Big Data",Data not available,Data not available,Also available as in-house or online training,EUR 3628 - incl. BTW + EUR 200 (Big Data Foundation Exam) + EUR 250 (Big Data Practitioner Exam),EUR 3628 - incl. BTW + EUR 200 (Big Data Foundation Exam) + EUR 250 (Big Data Practitioner Exam),Some reductions available through individual tax returns,The Big Data course is designed for anyone who wants to gain both theoretical and practical knowledge of Big Data.,Data not available,Data not available,Big Data Foundation has no prerequisites. Big Data Pracititioner then it requires the two-day Big Data Foundation have been successfully completed.,Check for next scheduled course,Data not available,Data not available,"Industry clients: KLM, Wolkswagen, Interpolis, IMG."
Short Course,Professional Development,Big Data Academy: Big Data Foundation,http://www.eduvision.nl/course/big-data-foundation,EduVision,Multiple: Europe,Utrecht (other locations available),Native language,2 days,Internationally recognised certification on completion. Different levels: Big Data Foundation,FT,Instructor Led,"Big Data Foundation: What Are Big Data ?, Introduction to various Big Data analysis strategies, the principles of algorithms and analytics, the base of Big Data architecture principles, the base of Big Data systems",Data not available,Data not available,Also available as in-house or online training,"EUR 1450,- incl. BTW+ EUR 200 (Big Data Foundation Exam)","EUR 1450,- incl. BTW+ EUR 200 (Big Data Foundation Exam)",Data not available,The course is for anyone dealing with (customer) big data within their organization and will lay a good theoretical basis for Big Data.,Data not available,Data not available,No prerequisites,Check for next scheduled course,Data not available,Data not available,"Industry clients: KLM, Wolkswagen, Interpolis, IMG."
Short Course,Professional Development,Big Data Academy: Big Data Architect,http://www.eduvision.nl/course/big-data-architect,EduVision,Multiple: Europe,Utrecht (other locations available),Native language,5 days,Internationally recognised certification on completion. Different levels: Big Data Architect,FT,Instructor Led,Deepening Foundation Designing Big Data Landscape Design Enterprise Architecture Advice and Facilitation Implementation Strategies Analysis Strategies,Data not available,Data not available,Also available as in-house or online training,"EUR 3991,- incl. BTW + EUR 350 (Big Data Foundation Exam)","EUR 3991,- incl. BTW + EUR 350 (Big Data Foundation Exam)",Data not available,Those in business who: Possess a strong conceptual ability. Will be able to conclude the exact business requirements to the Big Data landscape. Coach IT staff and will advise management (IT) on the Big Data architecture. Work at different organizational levels.,Data not available,Data not available,Data not available,Contact provider for next scheduled course,Data not available,Data not available,"Industry clients: KLM, Wolkswagen, Interpolis, IMG."
Short Course,Professional Development,Big Data Academy: Big Data Analyst,http://www.eduvision.nl/course/big-data-analyst,EduVision,Multiple: Europe,Utrecht (other locations available),Native language,5 days,Internationally recognised certification on completion. Different levels: Big Data Analyst,FT,Instructor Led,Floor in Big Data Analytics Big Data Analytics Process Algorithms Designing Predictive Models Analytics Hands-On,Data not available,Data not available,Also available as in-house or online training,"EUR 3991,- incl. BTW + EUR 350 (Big Data Analyst Exam)","EUR 3991,- incl. BTW + EUR 350 (Big Data Analyst Exam)",Data not available,Intermediate to Advanced. It is assumed that participants have technical background knowledge.,Data not available,Data not available,Big Data Foundation certificate and Big Data Practitioner certificate.,Check for next scheduled course,Data not available,Data not available,"Industry clients: KLM, Wolkswagen, Interpolis, IMG."
Short Course,Professional Development,Big Data Academy: Big Data Programmer,http://www.eduvision.nl/course/big-data-programmer,EduVision,Multiple: Europe,Utrecht (other locations available),Native language,7 days,Internationally recognised certification on completion. Different levels: Big Data Programmer,FT,Instructor Led,System Design System Realization and Documentation Testing Systems including Testware Administration Security Technical Support and Advice,Data not available,"Java, C# and PHP",Also available as in-house or online training,"EUR 5201,- incl. BTW + EUR 350 (Big Data Programmer)","EUR 5201,- incl. BTW + EUR 350 (Big Data Programmer)",Data not available,"Intermediate. Those entering the course should already have some technical background and be comfortable using PHP, C# and Java.",Data not available,Data not available,Familiarity with Java programming language.,Check for next scheduled course,Data not available,Data not available,"Industry clients: KLM, Wolkswagen, Interpolis, IMG."
Short Course,Professional Development,Big Data Academy: Data Analyse,http://www.eduvision.nl/course/data-analyse,EduVision,Multiple: Europe,Utrecht (other locations available),Native language,5 days,"Internationally recognised certification on completion. Different levels: Data Analyse Foundation, Data Analyse Practitioner",FT,Instructor Led,"Data Analysis Foundation: What's (Big) Data Analysis?, Introduction to different (Big) Data analysis strategies, The principles of algorithms and analytics, The basic principles of data architecture, The basis of (Big) Data Analytics systems, Theory test Data Analysis Foundation. Data Analysis: Practitioner: The basic application of the data analysis process in the practice, Applying various Big Data analytics tools, The application of algorithms and analytics, Practical application of the process data (data analysis architecture and systems), The Roadmap implementation of data within organizations, The quality of the data",Data not available,Data not available,Also available as in-house or online training,EUR 3628 - incl. BTW + EUR 200 (Big Data Foundation Exam) + EUR 250 (Big Data Practitioner Exam),EUR 3628 - incl. BTW + EUR 200 (Big Data Foundation Exam) + EUR 250 (Big Data Practitioner Exam),Data not available,"The course is designed for anyone who wants to gain both theoretical and practical knowledge of data analysis. Intended to gain customer insight, improve decision making and personalization.",Data not available,Data not available,No prerequisites for Data Analyse Foundation. Data Analyse Practitioner requires Data Analyse Foundation certificate.,Check for next scheduled course,Data not available,Data not available,"Industry clients: KLM, Wolkswagen, Interpolis, IMG."
